commune_id,pop_men,pop_women,pop_total
10101,120715,124636,245351
10102,17104,16881,33985
10103,2075,1752,3827
10104,5992,5950,11942
10105,8999,9270,18269
10106,8526,8284,16810
10107,8572,8921,17493
10108,7174,6943,14117
10109,21451,22374,43825
10201,21368,22225,43593
10202,18983,19925,38908
10203,7445,7413,14858
10204,1850,1973,3823
10205,6893,6835,13728
10206,1917,1914,3831
10207,2770,2612,5382
10208,13768,13247,27015
10209,4229,3965,8194
10210,3922,4132,8054
10301,76980,84156,161136
10302,4429,4065,8494
10303,9916,10324,20240
10304,5758,5528,11286
10305,6893,6920,13813
10306,3947,3457,7404
10307,4906,4979,9885
10401,2793,1992,4785
10402,1291,1178,2469
10403,4658,4214,8872
10404,865,806,1671
01101,94674,96474,191148
01107,54169,54145,108314
11101,28444,28917,57361
11102,404,326,730
11201,12168,10897,23065
11202,3661,2556,6217
11203,1166,677,1843
11301,1801,1558,3359
11302,353,243,596
11303,25,10,35
11401,2227,2011,4238
11402,1375,1194,2569
12101,65355,65962,131317
12102,145,75,220
12103,452,78,530
12104,588,169,757
12201,1107,854,1961
12202,126,12,138
12301,3670,2779,6449
12302,759,215,974
12303,233,49,282
12401,10878,10436,21314
12402,519,303,822
13101,206548,197726,404274
13102,39589,41178,80767
13103,65412,67165,132577
13104,61833,65047,126880
13105,79358,83118,162476
13106,73423,73547,146970
13107,48089,50520,98609
13108,49157,51076,100233
13109,43147,46972,90119
13110,175005,190470,365475
13111,56925,59466,116391
13112,87021,90255,177276
13113,43548,49144,92692
13114,135841,158839,294680
13115,50455,55291,105746
13116,49100,49628,98728
13117,46799,49450,96249
13118,55161,61373,116534
13119,250666,270758,521424
13120,95388,112807,208195
13121,49469,51609,101078
13122,116835,124669,241504
13123,65622,76270,141892
13124,112324,117810,230134
13125,103442,106951,210393
13126,53651,56340,109991
13127,77574,79999,157573
13128,72473,74406,146879
13129,45768,48611,94379
13130,50738,57216,107954
13131,40873,42027,82900
13132,38344,46909,85253
13201,275112,292953,568065
13202,13420,13076,26496
13203,9804,8304,18108
13301,74482,71462,145944
13302,51442,50445,101887
13303,10022,9254,19276
13401,147719,153475,301194
13402,47539,48993,96532
13403,12656,12632,25288
13404,36521,36238,72759
13501,61320,62123,123443
13502,3477,2903,6380
13503,16186,16322,32508
13504,6701,6664,13365
13505,5129,4589,9718
13601,36760,37452,74212
13602,17793,18130,35923
13603,18027,18159,36186
13604,31438,31788,63226
13605,43944,46257,90201
01401,8889,6698,15587
01402,657,593,1250
01403,983,725,1708
01404,1462,1194,2656
01405,6488,2699,9187
14101,80201,85621,165822
14102,2629,2664,5293
14103,8207,8512,16719
14104,9571,9737,19308
14105,3434,3566,7000
14106,10592,10661,21253
14107,10034,10089,20123
14108,17134,17294,34428
14201,18587,19192,37779
14202,7231,7386,14617
14203,5021,4835,9856
14204,15248,15773,31021
15101,109175,111836,221011
15102,635,497,1132
15201,1995,668,2663
15202,412,271,683
16101,87443,97151,184594
16102,10309,11034,21343
16103,14568,16320,30888
16104,5934,6058,11992
16105,4149,4185,8334
16106,5285,5469,10754
16107,8383,8560,16943
16108,7868,8174,16042
16109,8930,8798,17728
16201,5548,5827,11375
16202,2359,2386,4745
16203,7793,8058,15851
16204,2567,2646,5213
16205,2354,2400,4754
16206,2779,2859,5638
16207,2684,2684,5368
16301,25299,27482,52781
16302,13405,13445,26850
16303,5517,5465,10982
16304,2148,2069,4217
16305,5737,5755,11492
02101,181523,179907,361430
02102,8014,5419,13433
02103,8039,1132,9171
02104,7168,5785,12953
02201,85924,79599,165523
02202,164,111,275
02203,6104,4811,10915
02301,12414,12675,25089
02302,3874,2354,6228
03101,76387,77176,153563
03102,9007,8532,17539
03103,7603,6120,13723
03201,6189,5922,12111
03202,7133,6255,13388
03301,25334,26439,51773
03302,2560,2289,4849
03303,3466,3447,6913
03304,5195,4872,10067
04101,105479,114965,220444
04102,109616,117687,227303
04103,5450,5487,10937
04104,2139,1961,4100
04105,2227,2248,4475
04106,13691,13912,27603
04201,14683,16057,30740
04202,4525,4410,8935
04203,10953,10233,21186
04204,15680,13613,29293
04301,53271,57348,110619
04302,6512,6562,13074
04303,15081,15347,30428
04304,5357,5419,10776
04305,2070,2071,4141
05101,144546,151349,295895
05102,13269,13457,26726
05103,20301,21805,42106
05104,497,426,923
05105,9278,9126,18404
05107,15715,16004,31719
05109,158435,175301,333736
05201,3819,3931,7750
05301,33179,33348,66527
05302,7298,7477,14775
05303,5098,5036,10134
05304,9236,9505,18741
05401,17286,17995,35281
05402,9390,9868,19258
05403,3298,2986,6284
05404,4827,4889,9716
05405,3648,3588,7236
05501,43479,46902,90381
05502,24329,25942,50271
05503,9016,8932,17948
05504,10630,11401,22031
05506,10784,11313,22097
05601,44623,46566,91189
05602,6564,6922,13486
05603,11194,11399,22593
05604,7669,7961,15630
05605,6558,6481,13039
05606,5418,5458,10876
05701,37117,39548,76665
05702,6982,7016,13998
05703,12161,12349,24510
05704,3626,3538,7164
05705,8318,8375,16693
05706,7554,7629,15183
05801,71657,79852,151509
05802,22272,23673,45945
05803,8562,8896,17458
05804,59688,66694,126382
06101,117783,123654,241437
06102,6465,6432,12897
06103,3712,3626,7338
06104,9759,9747,19506
06105,10372,10467,20839
06106,16589,16770,33359
06107,12587,11945,24532
06108,25502,26856,52358
06109,6816,6587,13403
06110,12645,12668,25313
06111,6822,6786,13608
06112,7229,7062,14291
06113,10012,9565,19577
06114,6470,6440,12910
06115,28739,29886,58625
06116,14037,13778,27815
06117,23226,23394,46620
06201,8079,7963,16042
06202,1551,1408,2959
06203,3261,2997,6258
06204,3661,3518,7179
06205,3454,3146,6600
06206,3192,2937,6129
06301,35935,37742,73677
06302,7550,7430,14980
06303,17754,17502,35256
06304,3428,3320,6748
06305,8709,8910,17619
06306,6293,6128,12421
06307,5466,5417,10883
06308,4392,4274,8666
06309,1741,1664,3405
06310,18573,19230,37803
07101,104737,114595,219332
07102,22781,22910,45691
07103,4766,4553,9319
07104,2141,1907,4048
07105,24216,25436,49652
07106,4199,4173,8372
07107,4097,3905,8002
07108,7145,6593,13738
07109,21633,21552,43185
07110,4556,4606,9162
07201,19172,21003,40175
07202,4398,4435,8833
07203,3731,3774,7505
07301,72335,76534,148869
07302,4847,4742,9589
07303,3262,3222,6484
07304,22524,23262,45786
07305,5221,5237,10458
07306,7499,7550,15049
07307,9350,9139,18489
07308,14740,14134,28874
07309,2155,2039,4194
07401,44466,48726,93192
07402,10042,10431,20473
07403,15386,14984,30370
07404,20094,21404,41498
07405,10006,9876,19882
07406,21727,23322,45049
07407,7810,8289,16099
07408,9101,8936,18037
08101,107563,115885,223448
08102,55759,60419,116178
08103,40498,45430,85928
08104,5342,5197,10539
08105,11764,12439,24203
08106,20950,22585,43535
08107,22550,24697,47247
08108,62860,68799,131659
08109,6629,6880,13509
08110,72933,78681,151614
08111,25808,28938,54746
08112,43488,48285,91773
08201,12303,12974,25277
08202,17696,18229,35925
08203,16584,17843,34427
08204,3028,3003,6031
08205,15768,16442,32210
08206,10203,10832,21035
08207,5177,5195,10372
08301,97886,104269,202155
08302,1909,2075,3984
08303,14127,14352,28479
08304,10643,11566,22209
08305,14484,14935,29419
08306,12898,13312,26210
08307,4813,4924,9737
08308,1989,1983,3972
08309,4708,4850,9558
08310,1598,1691,3289
08311,6696,7071,13767
08312,6807,7214,14021
08313,10324,10623,20947
08314,3036,2887,5923
09101,133409,147970,281379
09102,12041,12210,24251
09103,8536,8577,17113
09104,3763,3637,7400
09105,12391,12173,24564
09106,5949,5893,11842
09107,6905,7450,14355
09108,18227,19371,37598
09109,11391,12017,23408
09110,3060,3034,6094
09111,15707,16522,32229
09112,36962,39082,76044
09113,3353,3472,6825
09114,12016,12732,24748
09115,14000,14308,28308
09116,6105,6307,12412
09117,7398,7405,14803
09118,4851,4808,9659
09119,13725,14150,27875
09120,27015,28097,55112
09121,5767,5835,11602
09201,25538,27618,53156
09202,12001,12487,24488
09203,8226,8915,17141
09204,3760,3856,7616
09205,5241,4794,10035
09206,3517,3591,7108
09207,4886,4591,9477
09208,5659,6095,11754
09209,4942,5282,10224
09210,8994,9790,18784
09211,16283,17679,33962
