commune_id,circumscription_id,circumscription_senators,district_id,district_deputies
15101,01,2,01,3
15102,01,2,01,3
15202,01,2,01,3
15201,01,2,01,3
01107,02,2,02,3
01402,02,2,02,3
01403,02,2,02,3
01404,02,2,02,3
01101,02,2,02,3
01405,02,2,02,3
01401,02,2,02,3
02201,03,3,03,5
02302,03,3,03,5
02202,03,3,03,5
02203,03,3,03,5
02301,03,3,03,5
02101,03,3,03,5
02102,03,3,03,5
02103,03,3,03,5
02104,03,3,03,5
03201,04,2,04,5
03101,04,2,04,5
03202,04,2,04,5
03302,04,2,04,5
03102,04,2,04,5
03303,04,2,04,5
03304,04,2,04,5
03103,04,2,04,5
03301,04,2,04,5
04103,05,3,05,7
04104,05,3,05,7
04101,05,3,05,7
04105,05,3,05,7
04106,05,3,05,7
04102,05,3,05,7
04301,05,3,05,7
04305,05,3,05,7
04202,05,3,05,7
04302,05,3,05,7
04201,05,3,05,7
04203,05,3,05,7
04303,05,3,05,7
04304,05,3,05,7
04204,05,3,05,7
05402,06,5,06,8
05502,06,5,06,8
05503,06,5,06,8
05504,06,5,06,8
05401,06,5,06,8
05506,06,5,06,8
05403,06,5,06,8
05404,06,5,06,8
05105,06,5,06,8
05501,06,5,06,8
05107,06,5,06,8
05405,06,5,06,8
05302,06,5,06,8
05702,06,5,06,8
05703,06,5,06,8
05301,06,5,06,8
05704,06,5,06,8
05705,06,5,06,8
05303,06,5,06,8
05304,06,5,06,8
05701,06,5,06,8
05706,06,5,06,8
05802,06,5,06,8
05803,06,5,06,8
05801,06,5,06,8
05804,06,5,06,8
05201,06,5,07,8
05104,06,5,07,8
05101,06,5,07,8
05103,06,5,07,8
05109,06,5,07,8
05602,06,5,07,8
05603,06,5,07,8
05102,06,5,07,8
05604,06,5,07,8
05605,06,5,07,8
05601,06,5,07,8
05606,06,5,07,8
13301,07,5,08,8
13302,07,5,08,8
13125,07,5,08,8
13124,07,5,08,8
13303,07,5,08,8
13102,07,5,08,8
13106,07,5,08,8
13119,07,5,08,8
13104,07,5,09,7
13107,07,5,09,7
13128,07,5,09,7
13103,07,5,09,7
13117,07,5,09,7
13126,07,5,09,7
13108,07,5,09,7
13127,07,5,09,7
13120,07,5,10,8
13123,07,5,10,8
13101,07,5,10,8
13111,07,5,10,8
13118,07,5,10,8
13129,07,5,10,8
13114,07,5,11,6
13115,07,5,11,6
13132,07,5,11,6
13113,07,5,11,6
13122,07,5,11,6
13110,07,5,12,7
13112,07,5,12,7
13202,07,5,12,7
13201,07,5,12,7
13203,07,5,12,7
13105,07,5,13,5
13109,07,5,13,5
13131,07,5,13,5
13116,07,5,13,5
13121,07,5,13,5
13130,07,5,13,5
13402,07,5,14,6
13403,07,5,14,6
13404,07,5,14,6
13401,07,5,14,6
13502,07,5,14,6
13503,07,5,14,6
13602,07,5,14,6
13603,07,5,14,6
13504,07,5,14,6
13501,07,5,14,6
13604,07,5,14,6
13605,07,5,14,6
13505,07,5,14,6
13601,07,5,14,6
06101,08,3,15,5
06102,08,3,15,5
06103,08,3,15,5
06104,08,3,15,5
06105,08,3,15,5
06106,08,3,15,5
06108,08,3,15,5
06109,08,3,15,5
06110,08,3,15,5
06111,08,3,15,5
06114,08,3,15,5
06115,08,3,15,5
06116,08,3,15,5
06303,08,3,16,4
06107,08,3,16,4
06112,08,3,16,4
06113,08,3,16,4
06301,08,3,16,4
06117,08,3,16,4
06302,08,3,16,4
06202,08,3,16,4
06203,08,3,16,4
06304,08,3,16,4
06204,08,3,16,4
06305,08,3,16,4
06205,08,3,16,4
06306,08,3,16,4
06206,08,3,16,4
06307,08,3,16,4
06201,08,3,16,4
06308,08,3,16,4
06309,08,3,16,4
06310,08,3,16,4
07301,09,5,17,7
07302,09,5,17,7
07303,09,5,17,7
07304,09,5,17,7
07305,09,5,17,7
07306,09,5,17,7
07307,09,5,17,7
07308,09,5,17,7
07309,09,5,17,7
07101,09,5,17,7
07102,09,5,17,7
07103,09,5,17,7
07104,09,5,17,7
07105,09,5,17,7
07106,09,5,17,7
07107,09,5,17,7
07108,09,5,17,7
07109,09,5,17,7
07110,09,5,17,7
07402,09,5,18,4
07401,09,5,18,4
07406,09,5,18,4
07407,09,5,18,4
07408,09,5,18,4
07201,09,5,18,4
07202,09,5,18,4
07403,09,5,18,4
07404,09,5,18,4
07203,09,5,18,4
07405,09,5,18,4
16101,10,2,19,5
16103,10,2,19,5
16302,10,2,19,5
16104,10,2,19,5
16105,10,2,19,5
16106,10,2,19,5
16108,10,2,19,5
16109,10,2,19,5
16102,10,2,19,5
08303,10,2,19,5
16202,10,2,19,5
16203,10,2,19,5
16303,10,2,19,5
16205,10,2,19,5
16107,10,2,19,5
16201,10,2,19,5
16204,10,2,19,5
16206,10,2,19,5
16301,10,2,19,5
16304,10,2,19,5
16305,10,2,19,5
16207,10,2,19,5
08313,10,2,19,5
08112,10,3,20,8
08110,10,3,20,8
08103,10,3,20,8
08101,10,3,20,8
08108,10,3,20,8
08102,10,3,20,8
08104,10,3,20,8
08105,10,3,20,8
08107,10,3,20,8
08109,10,3,20,8
08111,10,3,20,8
08202,10,3,21,5
08203,10,3,21,5
08204,10,3,21,5
08205,10,3,21,5
08206,10,3,21,5
08201,10,3,21,5
08106,10,3,21,5
08207,10,3,21,5
08314,10,3,21,5
08302,10,3,21,5
08304,10,3,21,5
08301,10,3,21,5
08305,10,3,21,5
08306,10,3,21,5
08307,10,3,21,5
08308,10,3,21,5
08309,10,3,21,5
08310,10,3,21,5
08311,10,3,21,5
08312,10,3,21,5
09201,11,5,22,4
09202,11,5,22,4
09204,11,5,22,4
09206,11,5,22,4
09207,11,5,22,4
09208,11,5,22,4
09209,11,5,22,4
09210,11,5,22,4
09203,11,5,22,4
09106,11,5,22,4
09108,11,5,22,4
09205,11,5,22,4
09110,11,5,22,4
09113,11,5,22,4
09211,11,5,22,4
09119,11,5,22,4
09112,11,5,23,7
09101,11,5,23,7
09102,11,5,23,7
09121,11,5,23,7
09105,11,5,23,7
09111,11,5,23,7
09114,11,5,23,7
09116,11,5,23,7
09117,11,5,23,7
09103,11,5,23,7
09104,11,5,23,7
09107,11,5,23,7
09109,11,5,23,7
09115,11,5,23,7
09118,11,5,23,7
09120,11,5,23,7
14102,12,3,24,5
14103,12,3,24,5
14105,12,3,24,5
14106,12,3,24,5
14101,12,3,24,5
14202,12,3,24,5
14201,12,3,24,5
14203,12,3,24,5
14104,12,3,24,5
14107,12,3,24,5
14108,12,3,24,5
14204,12,3,24,5
10301,13,3,25,4
10306,13,3,25,4
10307,13,3,25,4
10104,13,3,25,4
10105,13,3,25,4
10107,13,3,25,4
10106,13,3,25,4
10302,13,3,25,4
10109,13,3,25,4
10304,13,3,25,4
10303,13,3,25,4
10305,13,3,25,4
10102,13,3,26,5
10103,13,3,26,5
10108,13,3,26,5
10101,13,3,26,5
10202,13,3,26,5
10201,13,3,26,5
10401,13,3,26,5
10203,13,3,26,5
10204,13,3,26,5
10205,13,3,26,5
10402,13,3,26,5
10403,13,3,26,5
10404,13,3,26,5
10206,13,3,26,5
10207,13,3,26,5
10208,13,3,26,5
10209,13,3,26,5
10210,13,3,26,5
11201,14,2,27,3
11202,14,2,27,3
11401,14,2,27,3
11101,14,2,27,3
11301,14,2,27,3
11203,14,2,27,3
11102,14,2,27,3
11402,14,2,27,3
11302,14,2,27,3
11303,14,2,27,3
12202,15,2,28,3
12201,15,2,28,3
12102,15,2,28,3
12401,15,2,28,3
12301,15,2,28,3
12302,15,2,28,3
12101,15,2,28,3
12103,15,2,28,3
12104,15,2,28,3
12303,15,2,28,3
12402,15,2,28,3
